id,startnode,endnode
ASTAI00103_AHALL01903,ASTAI00103,AHALL01903
ASTAI00103_ASTAI00102,ASTAI00103,ASTAI00102
ASTAI00103_ASTAI00304,ASTAI00103,ASTAI00304
ASTAI00102_AHALL01002,ASTAI00102,AHALL01002
ASTAI00102_ASTAI00101,ASTAI00102,ASTAI00101
ADEPT01905_AHALL03405,ADEPT01905,AHALL03405
ADEPT01202_AHALL02302,ADEPT01202,AHALL02302
AHALL01105_AHALL01005,AHALL01105,AHALL01005
AHALL03405_AHALL03305,AHALL03405,AHALL03305
AHALL03405_AREST00305,AHALL03405,AREST00305
AHALL03404_AHALL02104,AHALL03404,AHALL02104
AHALL03404_ACONF00304,AHALL03404,ACONF00304
AHALL03404_ASERV00104,AHALL03404,ASERV00104
AHALL01101_AHALL00601,AHALL01101,AHALL00601
AHALL01101_AELEV00101,AHALL01101,AELEV00101
AHALL01101_ASTAI00301,AHALL01101,ASTAI00301
AHALL01102_ADEPT01002,AHALL01102,ADEPT01002
AHALL01103_AHALL01003,AHALL01103,AHALL01003
AHALL01103_AREST00103,AHALL01103,AREST00103
AHALL01103_ASTAI00203,AHALL01103,ASTAI00203
AHALL01103_AELEV00103,AHALL01103,AELEV00103
AHALL01104_AHALL01004,AHALL01104,AHALL01004
AHALL01104_AHALL01304,AHALL01104,AHALL01304
ADEPT00902_AHALL01402,ADEPT00902,AHALL01402
AHALL01905_AHALL01805,AHALL01905,AHALL01805
AHALL01905_AHALL02005,AHALL01905,AHALL02005
ADEPT00901_AHALL01601,ADEPT00901,AHALL01601
AHALL01901_AHALL01701,AHALL01901,AHALL01701
AHALL01901_ADEPT00201,AHALL01901,ADEPT00201
AHALL01901_AHALL02001,AHALL01901,AHALL02001
AHALL01902_AHALL01802,AHALL01902,AHALL01802
AHALL01902_AHALL02002,AHALL01902,AHALL02002
AHALL01902_AHALL02502,AHALL01902,AHALL02502
AHALL01903_AHALL01803,AHALL01903,AHALL01803
AHALL01903_AHALL02003,AHALL01903,AHALL02003
ADEPT00104_AHALL03804,ADEPT00104,AHALL03804
ADEPT02404_AHALL00804,ADEPT02404,AHALL00804
AHALL01904_AHALL01804,AHALL01904,AHALL01804
AHALL01904_ASTAI00304,AHALL01904,ASTAI00304
AHALL01904_AHALL02004,AHALL01904,AHALL02004
ADEPT00105_AHALL00405,ADEPT00105,AHALL00405
ASERV00504_AHALL02804,ASERV00504,AHALL02804
ASERV00503_AHALL02303,ASERV00503,AHALL02303
ADEPT00904_AHALL02604,ADEPT00904,AHALL02604
ADEPT00905_AHALL02005,ADEPT00905,AHALL02005
AHALL02304_AHALL02204,AHALL02304,AHALL02204
AHALL02304_ADEPT00504,AHALL02304,ADEPT00504
AHALL02305_AHALL02205,AHALL02305,AHALL02205
AHALL02305_AHALL02805,AHALL02305,AHALL02805
AHALL02301_AHALL02201,AHALL02301,AHALL02201
AHALL02301_ASERV00101,AHALL02301,ASERV00101
AHALL02302_AHALL02202,AHALL02302,AHALL02202
AHALL02303_AHALL02203,AHALL02303,AHALL02203
AHALL02303_ASERV00403,AHALL02303,ASERV00403
AHALL00804_AHALL00704,AHALL00804,AHALL00704
AHALL00803_AHALL00703,AHALL00803,AHALL00703
AHALL00803_ADEPT00603,AHALL00803,ADEPT00603
AHALL00802_AHALL00702,AHALL00802,AHALL00702
AHALL00802_AELEV00202,AHALL00802,AELEV00202
AHALL00801_AREST00201,AHALL00801,AREST00201
ADEPT01204_AHALL03104,ADEPT01204,AHALL03104
ADEPT01205_AHALL02805,ADEPT01205,AHALL02805
AHALL00805_AHALL00705,AHALL00805,AHALL00705
ASTAI00205_AHALL03305,ASTAI00205,AHALL03305
ASTAI00205_ASTAI00204,ASTAI00205,ASTAI00204
ASTAI00204_AHALL03704,ASTAI00204,AHALL03704
ASTAI00203_ASTAI00202,ASTAI00203,ASTAI00202
ASTAI00203_ASTAI00504,ASTAI00203,ASTAI00504
ASTAI00202_ASTAI00301,ASTAI00202,ASTAI00301
ASTAI00201_AHALL03101,ASTAI00201,AHALL03101
ASTAI00201_ASTAI00404,ASTAI00201,ASTAI00404
AHALL01001_ADEPT00701,AHALL01001,ADEPT00701
ASTAI00405_AHALL02705,ASTAI00405,AHALL02705
ASTAI00405_ASTAI00404,ASTAI00405,ASTAI00404
AHALL03305_AHALL03205,AHALL03305,AHALL03205
AHALL03304_AHALL03204,AHALL03304,AHALL03204
AHALL03304_ADEPT01404,AHALL03304,ADEPT01404
AHALL03304_ASTAI00404,AHALL03304,ASTAI00404
AHALL01005_ACONF00205,AHALL01005,ACONF00205
AHALL01802_AHALL01702,AHALL01802,AHALL01702
AREST00304_AHALL02204,AREST00304,AHALL02204
ADEPT00205_AHALL00605,ADEPT00205,AHALL00605
AREST00303_AHALL02103,AREST00303,AHALL02103
AHALL01803_AHALL01703,AHALL01803,AHALL01703
AHALL01803_ASERV00303,AHALL01803,ASERV00303
ADEPT00203_AHALL00403,ADEPT00203,AHALL00403
AHALL01804_AHALL01704,AHALL01804,AHALL01704
AHALL01804_ADEPT01604,AHALL01804,ADEPT01604
ADEPT00204_AHALL03904,ADEPT00204,AHALL03904
AHALL01805_AHALL01705,AHALL01805,AHALL01705
AHALL01805_ADEPT00705,AHALL01805,ADEPT00705
ASERV00404_AHALL02704,ASERV00404,AHALL02704
ASERV00402_AHALL00502,ASERV00402,AHALL00502
AHALL02205_AHALL02105,AHALL02205,AHALL02105
AHALL02205_ASTAI00305,AHALL02205,ASTAI00305
AHALL02205_ADEPT01305,AHALL02205,ADEPT01305
ADEPT00103_AHALL01303,ADEPT00103,AHALL01303
ADEPT00101_AHALL02001,ADEPT00101,AHALL02001
AHALL02201_AHALL02101,AHALL02201,AHALL02101
ACONF00104_AHALL01304,ACONF00104,AHALL01304
AHALL02202_AHALL02102,AHALL02202,AHALL02102
ACONF00103_AHALL01503,ACONF00103,AHALL01503
AHALL02203_AHALL02003,AHALL02203,AHALL02003
AHALL02203_AHALL02103,AHALL02203,AHALL02103
AHALL02203_ASERV00103,AHALL02203,ASERV00103
AHALL02204_AHALL02104,AHALL02204,AHALL02104
ACONF00105_AHALL00205,ACONF00105,AHALL00205
AHALL00705_AHALL00605,AHALL00705,AHALL00605
AHALL00704_AHALL00604,AHALL00704,AHALL00604
AHALL00703_AHALL00603,AHALL00703,AHALL00603
AHALL00703_ADEPT00503,AHALL00703,ADEPT00503
AHALL00702_AHALL00602,AHALL00702,AHALL00602
AHALL00702_ADEPT00702,AHALL00702,ADEPT00702
ADEPT01304_AHALL03204,ADEPT01304,AHALL03204
ASTAI00305_ASTAI00304,ASTAI00305,ASTAI00304
AKIOS00101_AHALL01301,AKIOS00101,AHALL01301
ASERV00302_AHALL00402,ASERV00302,AHALL00402
ASERV00301_AHALL02701,ASERV00301,AHALL02701
AELEV00101_AELEV00102,AELEV00101,AELEV00102
AELEV00102_AELEV00103,AELEV00102,AELEV00103
AELEV00103_AELEV00104,AELEV00103,AELEV00104
AELEV00104_AELEV00105,AELEV00104,AELEV00105
ASTAI00505_AHALL01305,ASTAI00505,AHALL01305
ASTAI00505_ASTAI00504,ASTAI00505,ASTAI00504
AELEV00105_AHALL01305,AELEV00105,AHALL01305
AHALL01701_AHALL01601,AHALL01701,AHALL01601
AHALL01701_AHALL02101,AHALL01701,AHALL02101
AHALL01702_AHALL01602,AHALL01702,AHALL01602
AHALL03205_AHALL03105,AHALL03205,AHALL03105
AHALL03205_ADEPT01805,AHALL03205,ADEPT01805
AHALL03204_AHALL03104,AHALL03204,AHALL03104
AHALL03204_ASERV00904,AHALL03204,ASERV00904
AHALL01703_AHALL01603,AHALL01703,AHALL01603
AHALL01703_ASERV00703,AHALL01703,ASERV00703
ADEPT00304_AHALL03604,ADEPT00304,AHALL03604
AHALL01704_AHALL01604,AHALL01704,AHALL01604
AHALL01704_ASERV01004,AHALL01704,ASERV01004
ADEPT00302_AHALL00302,ADEPT00302,AHALL00302
AHALL01705_AHALL01605,AHALL01705,AHALL01605
AHALL01705_ADEPT00605,AHALL01705,ADEPT00605
ADEPT00303_AHALL00503,ADEPT00303,AHALL00503
ASERV00304_AHALL02104,ASERV00304,AHALL02104
ADEPT00202_AHALL00202,ADEPT00202,AHALL00202
AHALL02901_AHALL02801,AHALL02901,AHALL02801
AHALL00602_AHALL00502,AHALL00602,AHALL00502
AHALL00602_ADEPT00602,AHALL00602,ADEPT00602
AHALL02102_AHALL02002,AHALL02102,AHALL02002
AHALL02102_AREST00102,AHALL02102,AREST00102
AHALL00601_AHALL00501,AHALL00601,AHALL00501
AHALL02103_ASERV00203,AHALL02103,ASERV00203
AHALL02104_AHALL02004,AHALL02104,AHALL02004
AHALL02105_AHALL02005,AHALL02105,AHALL02005
AHALL00605_AHALL00505,AHALL00605,AHALL00505
AHALL00604_AHALL00504,AHALL00604,AHALL00504
AHALL00603_AHALL00503,AHALL00603,AHALL00503
AHALL00603_ADEPT00403,AHALL00603,ADEPT00403
ADEPT01405_AHALL02605,ADEPT01405,AHALL02605
AHALL02904_AHALL02804,AHALL02904,AHALL02804
AHALL02904_ADEPT01004,AHALL02904,ADEPT01004
AHALL02904_AHALL03004,AHALL02904,AHALL03004
AHALL02905_AHALL02805,AHALL02905,AHALL02805
AHALL02905_AELEV00205,AHALL02905,AELEV00205
AHALL02905_AREST00205,AHALL02905,AREST00205
AHALL02905_AHALL03005,AHALL02905,AHALL03005
ASERV00202_AHALL00202,ASERV00202,AHALL00202
AELEV00201_AHALL02601,AELEV00201,AHALL02601
AELEV00201_AELEV00202,AELEV00201,AELEV00202
AHALL03101_AHALL03001,AHALL03101,AHALL03001
AELEV00202_AELEV00203,AELEV00202,AELEV00203
AELEV00203_AHALL02003,AELEV00203,AHALL02003
AELEV00203_AELEV00204,AELEV00203,AELEV00204
AELEV00204_AHALL02004,AELEV00204,AHALL02004
AELEV00204_AELEV00205,AELEV00204,AELEV00205
AREST00101_AHALL00401,AREST00101,AHALL00401
AHALL01601_AHALL01401,AHALL01601,AHALL01401
AHALL01601_AHALL02701,AHALL01601,AHALL02701
AHALL01602_AHALL01502,AHALL01602,AHALL01502
AHALL01602_ASERV00102,AHALL01602,ASERV00102
AHALL01603_AHALL01403,AHALL01603,AHALL01403
AHALL03104_AHALL03004,AHALL03104,AHALL03004
AHALL03105_AHALL03005,AHALL03105,AHALL03005
AHALL03105_ADEPT01705,AHALL03105,ADEPT01705
AHALL03105_ADEPT01605,AHALL03105,ADEPT01605
ADEPT00405_AHALL01405,ADEPT00405,AHALL01405
AHALL01604_AHALL01504,AHALL01604,AHALL01504
AHALL03904_AHALL03804,AHALL03904,AHALL03804
AREST00105_AHALL00505,AREST00105,AHALL00505
AREST00105_AHALL01305,AREST00105,AHALL01305
AHALL01605_AHALL01505,AHALL01605,AHALL01505
AHALL01605_ADEPT00505,AHALL01605,ADEPT00505
AHALL01605_ADEPT01005,AHALL01605,ADEPT01005
ADEPT00401_AHALL00501,ADEPT00401,AHALL00501
AREST00104_AHALL00504,AREST00104,AHALL00504
ADEPT00402_AHALL00402,ADEPT00402,AHALL00402
AREST00103_AHALL00403,AREST00103,AHALL00403
AHALL02001_ADEPT00301,AHALL02001,ADEPT00301
ACONF00305_AHALL01505,ACONF00305,AHALL01505
AHALL02801_AHALL02701,AHALL02801,AHALL02701
AHALL02801_AHALL03001,AHALL02801,AHALL03001
AHALL00503_AHALL00403,AHALL00503,AHALL00403
AHALL02003_AELEV00303,AHALL02003,AELEV00303
AHALL00502_AHALL00402,AHALL00502,AHALL00402
AHALL02004_AELEV00304,AHALL02004,AELEV00304
AHALL00501_AHALL00401,AHALL00501,AHALL00401
AHALL00505_AHALL00405,AHALL00505,AHALL00405
AHALL00504_AHALL00404,AHALL00504,AHALL00404
ADEPT01505_AHALL02705,ADEPT01505,AHALL02705
ADEPT01504_AHALL01504,ADEPT01504,AHALL01504
AHALL02804_AHALL02704,AHALL02804,AHALL02704
AHALL02804_ASERV00704,AHALL02804,ASERV00704
AHALL03001_ADEPT01001,AHALL03001,ADEPT01001
AELEV00301_AHALL02501,AELEV00301,AHALL02501
AELEV00301_AELEV00302,AELEV00301,AELEV00302
AELEV00302_AELEV00303,AELEV00302,AELEV00303
AELEV00303_AELEV00304,AELEV00303,AELEV00304
AELEV00304_AELEV00305,AELEV00304,AELEV00305
AHALL01501_AHALL01401,AHALL01501,AHALL01401
AHALL01502_AHALL01402,AHALL01502,AHALL01402
AHALL01503_AHALL01403,AHALL01503,AHALL01403
AHALL01503_AREST00203,AHALL01503,AREST00203
AHALL01504_AHALL01404,AHALL01504,AHALL01404
AHALL01504_ADEPT01804,AHALL01504,ADEPT01804
AHALL03005_AHALL02605,AHALL03005,AHALL02605
AHALL03005_ACONF00505,AHALL03005,ACONF00505
AHALL03004_ASERV00804,AHALL03004,ASERV00804
ADEPT00502_AHALL02602,ADEPT00502,AHALL02602
AHALL01505_AHALL01405,AHALL01505,AHALL01405
AREST00204_AHALL03604,AREST00204,AHALL03604
AHALL03804_AHALL03704,AHALL03804,AHALL03704
AHALL03804_ACONF00204,AHALL03804,ACONF00204
AREST00202_AHALL02702,AREST00202,AHALL02702
AELEV00305_AHALL02505,AELEV00305,AHALL02505
AHALL02702_AHALL01302,AHALL02702,AHALL01302
AHALL00404_AHALL00304,AHALL00404,AHALL00304
AHALL00403_AHALL00303,AHALL00403,AHALL00303
AHALL00402_AHALL00302,AHALL00402,AHALL00302
AHALL00401_AHALL00201,AHALL00401,AHALL00201
AHALL00405_AHALL00305,AHALL00405,AHALL00305
AHALL02704_AHALL02604,AHALL02704,AHALL02604
AHALL01402_AHALL01302,AHALL01402,AHALL01302
AHALL01403_AHALL01303,AHALL01403,AHALL01303
AHALL01404_AHALL01304,AHALL01404,AHALL01304
AHALL01404_ADEPT02004,AHALL01404,ADEPT02004
AHALL03704_AHALL03604,AHALL03704,AHALL03604
AHALL01405_ACONF00405,AHALL01405,ACONF00405
AHALL00301_AHALL00201,AHALL00301,AHALL00201
AHALL02601_AHALL02501,AHALL02601,AHALL02501
AHALL02602_AHALL01302,AHALL02602,AHALL01302
AHALL02604_AHALL02504,AHALL02604,AHALL02504
AHALL00305_AHALL00205,AHALL00305,AHALL00205
AHALL00304_AHALL00204,AHALL00304,AHALL00204
AHALL00303_AHALL00203,AHALL00303,AHALL00203
AHALL00302_AHALL00202,AHALL00302,AHALL00202
AHALL02605_AHALL02505,AHALL02605,AHALL02505
ADEPT02104_AHALL00204,ADEPT02104,AHALL00204
ALAB00105_AHALL02105,ALAB00105,AHALL02105
AHIDN0G0031100224_AHIDN0G0028200244,AHIDN0G0031100224,AHIDN0G0028200244
AHIDN0G0030800198_AHIDN0G0031100224,AHIDN0G0030800198,AHIDN0G0031100224
AHIDN0G0037900178_AHIDN0G0030800198,AHIDN0G0037900178,AHIDN0G0030800198
AHIDN0G0025600146_AHIDN0G0037900178,AHIDN0G0025600146,AHIDN0G0037900178
AEXIT0G0024000147_AHIDN0G0025600146,AEXIT0G0024000147,AHIDN0G0025600146
AHIDN0G0026800261_AEXIT0G0023800259,AHIDN0G0026800261,AEXIT0G0023800259
AHIDN0G0028200244_AHIDN0G0026800261,AHIDN0G0028200244,AHIDN0G0026800261
AHIDN0G0038100353_AWALK00201,AHIDN0G0038100353,AWALK00201
AHIDN0G0035900339_AHIDN0G0038100353,AHIDN0G0035900339,AHIDN0G0038100353
AHIDN0G0032700340_AHIDN0G0035900339,AHIDN0G0032700340,AHIDN0G0035900339
AWALK00101_AHIDN0G0032700340,AWALK00101,AHIDN0G0032700340
AHIDN0G0046200363_AWALK00201,AHIDN0G0046200363,AWALK00201
AHIDN0G0046200363_AEXIT00201,AHIDN0G0046200363,AEXIT00201
AHIDN0G0046200363_AHIDN0G0050700341,AHIDN0G0046200363,AHIDN0G0050700341
AHIDN0G0050700341_AHIDN0G0055000334,AHIDN0G0050700341,AHIDN0G0055000334
AHIDN0G0055000334_AEXIT00101,AHIDN0G0055000334,AEXIT00101
APARK01901_AHIDN0G0055000334,APARK01901,AHIDN0G0055000334
APARK02001_AHIDN0G0055000334,APARK02001,AHIDN0G0055000334
APARK02101_AHIDN0G0055000334,APARK02101,AHIDN0G0055000334
APARK02201_AHIDN0G0055000334,APARK02201,AHIDN0G0055000334
APARK02301_AHIDN0G0055000334,APARK02301,AHIDN0G0055000334
APARK02401_AHIDN0G0055000334,APARK02401,AHIDN0G0055000334
APARK02501_AHIDN0G0055000334,APARK02501,AHIDN0G0055000334
APARK02601_AHIDN0G0055000334,APARK02601,AHIDN0G0055000334
APARK02701_AHIDN0G0055000334,APARK02701,AHIDN0G0055000334
APARK02801_AHIDN0G0055000334,APARK02801,AHIDN0G0055000334
APARK02901_AHIDN0G0055000334,APARK02901,AHIDN0G0055000334
APARK03001_AHIDN0G0055000334,APARK03001,AHIDN0G0055000334
AHALL02901_ALAB00401,AHALL02901,ALAB00401
AHIDN0G0026800261_AWALK00101,AHIDN0G0026800261,AWALK00101
AHIDN010056300519_AHALL01701,AHIDN010056300519,AHALL01701
AHALL00601_AHIDN010056300519,AHALL00601,AHIDN010056300519
AHALL010055700494_AHIDN010056300519,AHALL010055700494,AHIDN010056300519
AHALL010055700494_ADEPT00601,AHALL010055700494,ADEPT00601
AHALL00101_AHALL010042600478,AHALL00101,AHALL010042600478
AHALL01301_AEXIT00101,AHALL01301,AEXIT00101
AEXIT00201_AHALL010042600478,AEXIT00201,AHALL010042600478
APARK0G0056900314_AHIDN0G0055000334,APARK0G0056900314,AHIDN0G0055000334
AHALL00301_ALAB00101,AHALL00301,ALAB00101
AHALL00801_AHALL00601,AHALL00801,AHALL00601
ALAB00301_AHALL02201,ALAB00301,AHALL02201
ALAB00201_AHALL02101,ALAB00201,AHALL02101
aCONF040057200620_AHALL01604,aCONF040057200620,AHALL01604
